Species,Common_name
Ctenotus iapetus,North West Cape Ctenotus
Ctenotus impar,Odd-striped Ctenotus
Ctenotus ingrami,Unspotted Yellow-sided Ctenotus
Ctenotus inornatus,"Bar-shouldered Ctenotus
Stony-soil Ctenotus [saxatilis]
Stern Ctenotus [severus]
Clay-soil Ctenotus [helenae]
West-coast Laterite Ctenotus [fallens]
Short-clawed Ctenotus [brachyonyx]"
Ctenotus joanae,Black-soil Ctenotus
Ctenotus kurnbudj,Kurnbudj Ctenotus
Ctenotus labillardieri,Common South-west Ctenotus
Ctenotus lancelini,Lancelin South-west Ctenotus
Ctenotus lateralis,Gravelly-soil Ctenotus
Ctenotus leae,Orange-tailed Finesnout Ctenotus
Ctenotus leonhardii,"Leonhardi's Ctenotus, Leonhardi's Skink"
Ctenotus maryani,
Ctenotus mastigura,Whiptail Ctenotus
Ctenotus mesotes,Median-striped Ctenotus
Ctenotus militaris,Soldier Ctenotus
Ctenotus mimetes,Checker-sided Ctenotus
Ctenotus monticola,Atherton Ctenotus
Ctenotus nasutus,Nasute Finesnout Ctenotus
Ctenotus nigrilineatus,Pin-striped Finesnout Ctenotus
Ctenotus nullum,Nullum Ctenotus
Ctenotus olympicus,a Spotted Ctenotus
Ctenotus ora,
Ctenotus orientalis,Oriental Ctenotus
Ctenotus pallasotus,Western Pilbara Lined Ctenotus
Ctenotus pallescens,North-western Wedgesnout Ctenotus
Ctenotus pantherinus,Leopard Ctenotus
Ctenotus piankai,Course Sand Ctenotus
Ctenotus pulchellus,Red-sided Ctenotus
Ctenotus quattuordecimlineatus,Fourteen-lined Ctenotus
Ctenotus quinkan,Quinkan Ctenotus
Ctenotus quirinus,
Ctenotus rawlinsoni,Cape Heath Ctenotus
Ctenotus regius,Pale-rumped Ctenotus
Ctenotus rhabdotus,Kimberley Lined Ctenotus
Ctenotus rimacolus,
Ctenotus robustus,"Robust Ctenotus, Striped Skink"
Ctenotus rosarium,
Ctenotus rubicundus,Ruddy Ctenotus
Ctenotus rufescens,Rufous Finesnout Ctenotus
Ctenotus rutilans,Rusty-shouldered Ctenotus
Ctenotus schevilli,Black-soil Rises Ctenotus
Ctenotus schomburgkii,Barred Wedge-snout Ctenotus
Ctenotus septenarius,Massive-gibber Ctenotus
Ctenotus serotinus,gravel-downs Ctenotus
Ctenotus serventyi,North-western Sandy-loam Ctenotus
Ctenotus spaldingi,Straight-browed Ctenotus
Ctenotus storri,Buff-striped Ctenotus
Ctenotus strauchii,Eastern Barred Wedge-snout Ctenotus
Ctenotus striaticeps,Stripe-headed Finesnout Ctenotus
Ctenotus stuarti,
Ctenotus superciliaris,Sharp-browed Ctenotus
Ctenotus taeniatus,Eyrean Ctenotus
Ctenotus taeniolatus,"Copper-tailed Ctenotus, Copper-Tailed Skink"
Ctenotus tanamiensis,Tanami Ctenotus
Ctenotus tantillus,Kimberley Wedge-snout Ctenotus
Ctenotus terrareginae,Hinchinbrook Ctenotus
Ctenotus uber,Spotted Ctenotus
Ctenotus vagus,Uneven-striped Ctenotus
Ctenotus vertebralis,Scant-striped Ctenotus
Ctenotus xenopleura,Wide-striped Ctenotus
Ctenotus youngsoni,Shark Bay South-west Ctenotus
Ctenotus zastictus,Hamelin Pool Ctenotus
Ctenotus zebrilla,"Southern Cape York Fine-snout, Ctenotus"
Cubatyphlops anchaurus,Maisi Blindsnake
Cubatyphlops anousius,Cuban Pallid Blindsnake
Cubatyphlops arator,Cuban Giant Blindsnake
Cubatyphlops biminiensis,Bahaman Slender Blindsnake
Cubatyphlops caymanensis,Cayman Worm Snake
Cubatyphlops contorhinus,Cuban Short-nosed Blindsnake
Cubatyphlops epactius,Cayman Brac Blindsnake
Cubatyphlops golyathi,Goliath Blindsnake
Cubatyphlops notorachius,Imias Blindsnake
Cubatyphlops paradoxus,Great Inagua Slender Blindsnake
Cubatyphlops perimychus,Guantanamo Bay Blindsnake
Cubatyphlops satelles,Cienfuegos Blindsnake
Cubophis brooksi,"E: Swan Island racer
G: Swan-Schlanknatter"
Cubophis cantherigerus,"E: Cuban Racer
G: Kuba-Schlanknatter"
Cubophis caymanus,"Racer, Ground Snake, Black Snake"
Cubophis fuscicauda,
Cubophis ruttyi,
Cubophis vudii,"E: Bahamian Racer
G: Bahama-Natter"
Cuora amboinensis,"E: Amboina Box Turtle; Southeast Asian Box Turtle
kamaroma: Domed Malayan Box Turtle
G: Asiatische Dosenschildkröte"
Cuora aurocapitata,"E: Yellow-headed Box Turtle, Eastern Yellow-headed Box Turtle [aurocapitata]
G: Goldköpfige Scharnierschildkröte
E: Western Yellow-headed Box Turtle [dabieshani]"
Cuora bourreti,"E: Bourret’s Box Turtle
G: Bourrets Scharnierschildkröte"
Cuora cyclornata,"E: Southern Vietnamese Three-striped Box Turtle [cyclornata]
E: Central Vietnamese Three-striped Box Turtle [annamitica]
E: Northern Vietnamese Three-striped Box Turtle [meieri]
G: Dreistreifen-Scharnierschildkröte"
Cuora flavomarginata,"E: Snake-eating Turtle
G: Gelbrand-Scharnierschildkröte
evelynae: Ryukyu Yellow-margined Box Turtle"
Cuora galbinifrons,"E: Indochinese Box Turtle
G: Hinterindische Scharnierschildkröte, Dreistreifen-Scharnierschildkröte"
Cuora mccordi,"E: McCord's Box Turtle
G: McCords Scharnierschildkröte"
Cuora mouhotii,"E: Keeled Box Turtle
G: Dreikiel-Scharnierschildkröte"
Cuora pani,"E: Pan's Box Turtle
G: Pans Scharnierschildkröte"
Cuora picturata,"E: Southern Vietnam Box Turtle, Vietnamese Box Turtle
G: Vietnamesische Scharnierschildkröte"
Cuora trifasciata,"E: Chinese Three-striped Box Turtle, Three-banded Box Turtle [trifasciata]
E: Hainan Three-striped Box Turtle [luteocephala]
G: Dreistreifen-Scharnierschildkröte"
Cuora yunnanensis,"E: Yunnan Box Turtle
G: Yunnan-Scharnierschildkröte"
Cuora zhoui,"E: Zhou's Box Turtle
G: Zhous Scharnierschildkröte"
Cyclanorbis elegans,Nubian Soft-shelled Turtle
Cyclanorbis senegalensis,Senegal Soft-shelled Turtle
Cyclemys atripons,"E: Black-Bridged Leaf Turtle, Striped Leaf Turtle
G: Gestreifte Dornrandschildkröte"
Cyclemys dentata,"E: Asian Leaf Turtle
G: Dornrandschildkröte"
Cyclemys enigmatica,
Cyclemys fusca,
Cyclemys gemeli,
Cyclemys oldhami,"E: Oldham’s Leaf Turtle, Dark-throated Leaf Turtle
G: Oldhams Dornrandschildkröte
E: (tcheponensis) Stripeneck Leaf Turtle
G: (tcheponensis)Indochinesische Dornschildkröte"
Cyclemys pulchristriata,
Cyclocorus lineatus,Reinhardt's Lined Snake
Cyclocorus nuchalis,Southern Triangle-spotted Snake
Cycloderma aubryi,"E: Aubry’s Soft-shelled Turtle
G: Rotrückige Klappenweichschildkröte"
Cycloderma frenatum,Zambezi Soft-shelled Turtle
Cyclodomorphus branchialis,"Common Slender Bluetongue, Gunther's Skink"
Cyclodomorphus casuarinae,"E: She-oak Slender Bluetongue, She-oak Skink
G: She-oak Skink"
Cyclodomorphus celatus,
Cyclodomorphus gerrardii,"E: Pink-tongued Skink, Pink-Tongued Lizard
G: Schneckenskink"
Cyclodomorphus maximus,Giant Slender Bluetongue
Cyclodomorphus melanops,Samphire Slender Bluetongue
Cyclodomorphus michaeli,Coastal She-Oak Slender Bluetongue
Cyclodomorphus praealtus,"Alpine She-Oak Skink, Alpine She-Oak Slender Bluetongue"
Cyclodomorphus venustus,Slender Bluetongue
Cyclophiops doriae,Doria's Green Snake
Cyclophiops hamptoni,Hampton's Green Snake
Cyclophiops herminae,Sakishima Green Snake
Cyclophiops major,"E: Chinese Green Snake
G: Chinesische Grünnatter, Chinesische Grasnatter
V: Ran dai lon"
Cyclophiops multicinctus,"Many-banded Green Snake, North China Green Snake"
Cyclophiops semicarinatus,Ryukyu Green Snake
Cyclotyphlops deharvengi,E: Deharveng’s Blind Snake
Cyclura carinata,"E: Turks Island Iguana, Turks and Caicos Rock Iguana
G: Wirtelschwanz"
Cyclura collei,"Jamaican Rock Iguana, Jamaica Iguana"
Cyclura cornuta,"E: Rhinoceros Iguana, Hispaniolan Rhinoceros Iguana
G: Nashornleguan"
Cyclura cychlura,"cychlura: Andros Island Iguana
figginsi: Exuma Island Iguana
inornata: Allen’s Island Iguana"
Cyclura lewisi,"Grand Cayman Iguana, Grand Cayman Blue Iguana"
Cyclura nubila,"nubila: Cayman Islands Ground Iguana, Cuban Iguana, Cuban Rock Iguana
caymanensis: Sister Islands Rock Iguana, Lesser Cayman’s Iguana"
Cyclura pinguis,"E: Anegada Rock Iguana, Anegada Ground Iguana
G: Anegada-Wirtelschwanzleguan"
Cyclura ricordi,"Ricord's Rock Iguana, Ricord's Ground Iguana"
Cyclura rileyi,"White Cay Ground Iguana
rileyi: San Salvador Iguana
cristata: White cay iguana
nuchalis: Acklins Iguana, Acklins Rock Iguana"
Cyclura stejnegeri,"Mona Island Iguana, Mona Rhinoceros Iguana
G: Mona Island Nashornleguan"
Cylindrophis aruensis,"E: Aru Cylinder Snake
G: Aru-Walzenschlange"
Cylindrophis boulengeri,Boulenger's Pipe Snake
Cylindrophis burmanus,"E: Burmese Pipe-Snake
G: Burma-Walzenschlange"
Cylindrophis engkariensis,
Cylindrophis isolepis,Jampea Island Pipe Snake
Cylindrophis jodiae,Jodi’s Pipe-Snake
Cylindrophis lineatus,Blanford's Pipe Snake
Cylindrophis maculatus,"E: Ceylonese Cylinder Snake, Pipe Snake
G: Ceylon-Walzenschlange"
Cylindrophis melanotus,Black Pipe Snake
Cylindrophis opisthorhodus,Island Pipe Snake
Cylindrophis ruffus,"E: Red-tailed Pipe Snake, Red Cylinder Snake
G: Rotschwanz-Walzenschlange, Rote Walzenschlange
Indonesian: Ular Pipa Ekor Merah
E: Mirza’s Pipe-Snake [mirzae]
Indonesian: Ular Pipa Mirza [mirzae]"
Cylindrophis subocularis,
Cylindrophis yamdena,Yamdena Pipe Snake
Cynisca bifrontalis,French Congo Worm Lizard
Cynisca chirioi,
Cynisca degrysi,Sierra Leone Worm Lizard
Cynisca feae,Ugly Worm Lizard
Cynisca gansi,
Cynisca haugi,Haug's Worm Lizard
Cynisca ivoirensis,
Cynisca kigomensis,
Cynisca kraussi,Ghana Worm Lizard
Cynisca leonina,Los Archipelago Worm Lizard
Cynisca leucura,Coast Worm Lizard
Cynisca liberiensis,Liberia  Worm Lizard
Cynisca manei,
Cynisca muelleri,
Cynisca nigeriensis,
Cynisca oligopholis,CassineRiver  Worm Lizard
Cynisca rouxae,
Cynisca schaeferi,CameroonWorm Lizard
Cynisca senegalensis,
Cynisca williamsi,
Cyrtodactylus aaroni,
Cyrtodactylus adleri,Alder’s bow-fingered gecko
Cyrtodactylus adorus,
Cyrtodactylus aequalis,
Cyrtodactylus agamensis,Agam Bow-fingered Gecko
Cyrtodactylus agusanensis,Mindanao Bow-fingered Gecko
Cyrtodactylus albofasciatus,"Deccan Banded Gecko, Boulenger’s Indian Gecko"
Cyrtodactylus angularis,"E: Angulated Bow-fingered Gecko, Angled Forest Gecko
G: Winkelbogenfingergecko"
Cyrtodactylus annandalei,
Cyrtodactylus annulatus,Annulated Bow-fingered Gecko
Cyrtodactylus arcanus,
Cyrtodactylus astrum,Starry Bent-toed Gecko
Cyrtodactylus aurensis,Aur Island Bent-toed Gecko
Cyrtodactylus auribalteatus,"E: Golden-belted bent-toed gecko 
Thai: Tuk-kai Plong-thong"
Cyrtodactylus australotitiwangsaensis,Southern Titiwangsa Bent-toed Gecko
Cyrtodactylus ayeyarwadyensis,
Cyrtodactylus badenensis,Vietnamese: Thãn lãn vach
Cyrtodactylus baluensis,Balu Bow-fingered Gecko
Cyrtodactylus bansocensis,"Laotian: Ki Chiem Ban Soc
E: Ban Soc Bent-toed Gecko"
Cyrtodactylus batik,Batik bent-toed gecko
Cyrtodactylus battalensis,Reticulate Plump-bodied gecko
Cyrtodactylus batucolus,Besar Island Bent-toed Gecko
Cyrtodactylus bichnganae,"E: Bich Ngan’s Bent-toed Gecko
Vietnamese: Thằn lằn chân ngón Bích Ngân"
Cyrtodactylus bidoupimontis,"E: Bidoup Bent–toed Gecko
Vietnamese: Thach sung ngon bi dup"
Cyrtodactylus bintangrendah,Bintang Lowland Bent-toed Gecko
Cyrtodactylus bintangtinggi,
Cyrtodactylus biordinis,Guadalcanal Bow-fingered Gecko
Cyrtodactylus bobrovi,"English: Bobrov’s Bent-toed Gecko
Vietnamese: Thạch sùng ngón bô-b-rôp"
Cyrtodactylus boreoclivus,
Cyrtodactylus brevidactylus,
Cyrtodactylus brevipalmatus,"E: Kampuchea Bow-fingered Gecko, Short-hand Forest Gecko
G: Kurzhand-Bogenfingergecko"
Cyrtodactylus buchardi,
Cyrtodactylus bugiamapensis,"E: Bu Gia Map Bent–toed Gecko
Vietnamese: Thach sung ngón bu gia map"
Cyrtodactylus calamei,"E: Calame’s Bent-toed Gecko
Laotian: Ki Chiem Calame"
Cyrtodactylus caovansungi,
Cyrtodactylus capreoloides,
Cyrtodactylus cattienensis,"E: Cattien Bent-toed Gecko
Vietnamese: Thach sung ngon cat tien"
Cyrtodactylus cavernicolus,
Cyrtodactylus celatus,
Cyrtodactylus chanhomeae,
Cyrtodactylus chauquangensis,
Cyrtodactylus chrysopylos,
Cyrtodactylus collegalensis,"Forest Spotted gecko, Kollegal Ground Gecko"
Cyrtodactylus condorensis,PuloCondore Bow-fingered Gecko
Cyrtodactylus consobrinoides,
Cyrtodactylus consobrinus,"E: Peters' Bow-fingered  Gecko, (Thin-) Banded Forest Gecko
G: Gebänderter Bogenfingergecko"
Cyrtodactylus cracens,
Cyrtodactylus cryptus,
Cyrtodactylus cucdongensis,"E: Cucdong Bent-toed Gecko
Vietnamese: Thach sung ngon cuc dong"
Cyrtodactylus cucphuongensis,
Cyrtodactylus dammathetensis,Dammathet cave bent-toed gecko
Cyrtodactylus darevskii,Darevsky’s Bent-toed Gecko
Cyrtodactylus darmandvillei,Darmandville Bow-fingered Gecko
Cyrtodactylus dati,"E: Đạt Bent–toed Gecko
Vietnamese: Thằn lằn chân ngón Hoàng Đức Đạt
French: Cyrtodactyle de Dat"
Cyrtodactylus dattanensis,Plump Banded gecko
Cyrtodactylus deccanensis,"Gunther's Indian Gecko, Banded Ground Gecko"
Cyrtodactylus derongo,Derongo Bow-fingered Gecko
Cyrtodactylus deveti,Moluccan Bow-fingered Gecko
Cyrtodactylus doisuthep,"Thai: Took-kai Doi Suthep
E: Doi Suthep bent-toed gecko
F: Cyrtodactyle du Doï Suthep
G: Doisuthep Bogenfingergecko
Dutch: Doisuthepkromvingergekko"
Cyrtodactylus dumnuii,"E: Dumnui’s bent toed gecko
G: Dumnuis Bogenfingergecko
F: Cyrtodactyle de Dumnui
Dutch: Kromvingergekko van Dumnui
Thai: Tuk kai Dumnui"
Cyrtodactylus durio,Durian Bent-toed Gecko
Cyrtodactylus edwardtaylori,
Cyrtodactylus eisenmanae,"E: Eisenman’s bent-toed gecko
Vietnamese: “Than lan chân ngón Eisenman” "
Cyrtodactylus elok,"E: Malaysia Bow-fingered Gecko, White-eyed Forest Gecko, Beautiful Bent-toed Gecko
G: Weissaugen-Bogenfingergecko"
Cyrtodactylus epiroticus,
Cyrtodactylus equestris,
Cyrtodactylus erythrops,"Thai: Tuk kai ta daeng
English: Red-eyed bent toed gecko
French: Cyrtodactyle aux yeux rouges
Deutsch: Rotaugen-Bogenfingergecko
Dutch: Rood ogige kromvingergekko"
Cyrtodactylus fasciolatus,Banded bent-toed Gecko
Cyrtodactylus feae,
Cyrtodactylus fraenatus,"Sri Lanka Bow-fingered Gecko
G: Grosser Waldgecko"
Cyrtodactylus fumosus,
Cyrtodactylus gansi,
Cyrtodactylus gialaiensis,"E: Gialai Bent–toed Gecko
Vietnamese: Thằn lằn chân ngón gia lai"
Cyrtodactylus gordongekkoi,
Cyrtodactylus grismeri,"E: Grismer’s Bent-toed Gecko
Vietnamese: “Than lan chân ngón Grismer”."
Cyrtodactylus guakanthanensis,"E: Gua Kanthan Bent-toed Gecko
Malay: Cicak Gua Kanthan"
Cyrtodactylus gubaot,
Cyrtodactylus gubernatoris,Sikkimese bent-toed Gecko
Cyrtodactylus gunungsenyumensis,"E: Gunung Senyum Bent-toed Gecko
Malay: Cicak Gunung Senyum"
Cyrtodactylus halmahericus,
Cyrtodactylus hidupselamanya,"English: Chiku Bent-toed Gecko
Malay: Cicak Jari-bengkok Chiku"
Cyrtodactylus hikidai,
Cyrtodactylus himalayanus,Himalayan bent-toed Gecko
Cyrtodactylus hinnamnoensis,"E: Hinnamno Bent-toed Gecko
Laotian: Ki Chiem Hin Nam No"
Cyrtodactylus hitchi,
Cyrtodactylus hontreensis,"E: Hon Tre Bent-toed Gecko
Vietnamese: Th|n L|n Chân Ngón Hòn Tre"
Cyrtodactylus hoskini,
Cyrtodactylus huongsonensis,
Cyrtodactylus huynhi,Huynh’s bent-toed gecko
Cyrtodactylus ingeri,Sabah Bow-fingered Gecko
Cyrtodactylus interdigitalis,"E: Skin-toe Forest Gecko
G: Hautzehen-Bogenfingergecko"
Cyrtodactylus intermedius,"E: Intermediate Bow-fingered Gecko, Cardamon Forest Gecko
G: Kleiner Bogenfingergecko"
Cyrtodactylus inthanon,"Thai: Took-kai Doi Inthanon
E: Doi Inthanon bent-toed gecko
French: Cyrtodactyle du Doï Inthanon
G: Doi Inthanon Bogenfingergecko
Dutch: Doiinthanonkromvingergekko"
Cyrtodactylus irianjayaensis,
Cyrtodactylus irregularis,Irregular Bow-fingered Gecko
Cyrtodactylus jaegeri,
Cyrtodactylus jambangan,
Cyrtodactylus jarakensis,Jarak Island Bent-toed Gecko
Cyrtodactylus jarujini,"E: Jarujin’s Forest Gecko
G: Jarujins Bogenfingergecko"
Cyrtodactylus jelawangensis,E: Jelawang Bent-toed Gecko
Cyrtodactylus jellesmae,Kabaena Bow-fingeredGecko
Cyrtodactylus jeyporensis,Patinghe Indian Gecko
Cyrtodactylus khammouanensis,Khammouane Bent-toed Gecko
Cyrtodactylus khasiensis,Khasi Hills bent-toed Gecko
Cyrtodactylus khelangensis,"Thai: Took-kai Lampang
English: Lampang bent-toed gecko
French: Cyrtodactyle de Lampang
German: Lampang Bogenfingergecko
Dutch: Lampangkromvingergekko"
Cyrtodactylus kimberleyensis,Kimberley Bent-toed Gecko
Cyrtodactylus kingsadai,
Cyrtodactylus klakahensis,"E: Klakah bent-toed gecko
G: Klakah Bogenfinger-Gecko"
Cyrtodactylus klugei,
Cyrtodactylus kunyai,"Thai: Took-kai Kirati
E: Kunya’s bent-toed gecko
F: Cyrtodactyle de Kunya"
Cyrtodactylus laevigatus,
Cyrtodactylus langkawiensis,Langkawi Island Bent-toed Gecko
Cyrtodactylus lateralis,"E: Werner’s Prehensile-tailed Bent-toed Gecko, Sumatra Bow-fingered Gecko, Spiny Forest Gecko
G: Seitenstachel-Bogenfingergecko"
Cyrtodactylus lawderanus,Lawder’s bent-toed Gecko
Cyrtodactylus leegrismeri,Tenggol Island Bent-toed Gecko
Cyrtodactylus lekaguli,"Tuk-kai Boonsong, Bent-toed Gecko"
Cyrtodactylus lenggongensis,"English: Lenggong Bent-toed Gecko
Malay: Cicak Jari-bengkok Lenggong"
Cyrtodactylus lenya,E: Lenya Banded Bent-toed Gecko
Cyrtodactylus linnoensis,Linno cave bent-toed gecko
Cyrtodactylus linnwayensis,Linn-Way bent-toed gecko
Cyrtodactylus lomyenensis,"English: Lomyen Bent-toed Gecko
Vietnamese: Thằn lằn chân ngón Lomyen
Lao: Khi Kiem Tham Lomyen
French: Cyrtodactyle de Lomyen
Thai: Tuk kai Tham Lomyen"
Cyrtodactylus loriae,Boulenger's Bow-fingered Gecko
Cyrtodactylus louisiadensis,"Ring-tailed Gecko, Banded Gecko"
Cyrtodactylus macrotuberculatus,"Tuberculate Bent-toed Gecko, Large Tubercled Bent-toed Gecko"
Cyrtodactylus majulah,
Cyrtodactylus malayanus,Borneo Bow-fingered Gecko
Cyrtodactylus mamanwa,
Cyrtodactylus mandalayensis,
Cyrtodactylus markuscombaii,Striped gecko
Cyrtodactylus marmoratus,Marbled Bow-fingered Gecko
Cyrtodactylus martini,"English: Martin’s Bent–toed Gecko
Vietnamese: “Thằn lằn chân ngón Martin”"
Cyrtodactylus martinstolli,Barred gecko
Cyrtodactylus matsuii,Hikida's Bow-fingered Gecko
Cyrtodactylus mcdonaldi,
Cyrtodactylus medioclivus,
Cyrtodactylus metropolis,
Cyrtodactylus mimikanus,"Mimika Bow-fingered Gecko, Mimika bent-toed gecko (suggested by Mark O’Shea)"
Cyrtodactylus minor,
Cyrtodactylus multiporus,Multipored Bent-toed Gecko
Cyrtodactylus murua,
Cyrtodactylus nebulosus,
Cyrtodactylus nepalensis,Nepalese rock gecko
Cyrtodactylus nigriocularis,
Cyrtodactylus novaeguineae,
Cyrtodactylus nuaulu,
Cyrtodactylus oldhami,"E: Oldham's Bow-fingered Gecko
G: Oldhams Bogenfingergecko"
Cyrtodactylus otai,"E: Ota’s Bent-toed Gecko
Vietnamese: Thạch sùng ngón ô-ta"
Cyrtodactylus pageli,
Cyrtodactylus pantiensis,Panti Mountain Bent-toed Gecko
Cyrtodactylus papilionoides,"E: Butterfly Forest Gecko
G: Schmetterlingsbogenfingergecko"
Cyrtodactylus papuensis,Papua Bow-fingered Gecko
Cyrtodactylus paradoxus,
Cyrtodactylus payacola,
Cyrtodactylus payarhtanensis,E: Tenasserim Mountain Bent-toed Gecko
Cyrtodactylus peguensis,"E: Thai Bow-fingered Gecko, Pegu Forest Gecko
G: Pegu-Bogenfingergecko"
Cyrtodactylus petani,"Indonesian: Cicak Jari Lengkung Petani
E: Farmer’s Bent-toed Gecko"
Cyrtodactylus pharbaungensis,Pharbaung cave bent-toed gecko
Cyrtodactylus phetchaburiensis,
Cyrtodactylus philippinicus,Philippine Bow-fingered Gecko
Cyrtodactylus phongnhakebangensis,
Cyrtodactylus phuketensis,"Thai: Took-kai Phuket
E: Phuket bent-toed gecko
F: Cyrtodactyle de Phuket
Dutch: Phuketkromvingergekko"
Cyrtodactylus phuocbinhensis,
Cyrtodactylus phuquocensis,"E: Phu Quoc bent–toed gecko
Vietnamese: “Than lan chan ngon Phu Quoc”"
Cyrtodactylus pronarus,
Cyrtodactylus psarops,"E: Speckle-faced Bent-toed Geckos
Indonesian: Cicak Jari Lengkung Muka Bintik"
Cyrtodactylus pseudoquadrivirgatus,
Cyrtodactylus pubisulcus,Inger's Bow-fingered Gecko
Cyrtodactylus puhuensis,Pù Hu bent-toed gecko
Cyrtodactylus pulchellus,"E: Malayan Forest Gecko, Banded Bent-toed Gecko
G: Malaiischer Bogenfingergecko"
Cyrtodactylus pyinyaungensis,Pyinyaung bent-toed Gecko
Cyrtodactylus quadrivirgatus,"E: Taylor's Bow-fingered Gecko, Four-striped Forest Gecko, Marbled Bent-toed Gecko
G: Vierstreifen-Bogenfingergecko"
Cyrtodactylus ramboda,
Cyrtodactylus ranongensis,"Thai: Took-kai Ranong
English:Ranong bent-toed gecko
French: Cyrtodactyle de Ranong
German: Ranong Bogenfingergecko
Dutch: Ranongkromvingergekko"
Cyrtodactylus redimiculus,Palawan Bow-fingered Gecko
Cyrtodactylus rex,
Cyrtodactylus rishivalleyensis,E: Rishi Valley Geckoella
Cyrtodactylus robustus,
Cyrtodactylus roesleri,"E: Roesler’s Bent-toed Gecko
Vietnamese: Thach sung ngon ro-x-lo"
Cyrtodactylus rosichonariefi,"English: Rosichonariefi’s Bent-toed Gecko
Indonesian: Cicak Kecil Rosichonariefi"
Cyrtodactylus rubidus,"Red Bow-fingered Gecko, Andamans Bent-toed Gecko"
Cyrtodactylus rufford,"Laotian: Ki Chiem Rufford
English: Rufford Bent-toed Gecko"
Cyrtodactylus russelli,
Cyrtodactylus sadanensis,Sadan cave bent-toed gecko
Cyrtodactylus sadansinensis,Sadan sin cave bent-toed gecko
Cyrtodactylus sadleiri,Sadleir's Bow-fingered Gecko
Cyrtodactylus saiyok,"Thai: Took-kai Sai Yok
E: Sai Yok bent-toed gecko
F: Cyrtodactyle de Saï Yok
G: Saiyok Bogenfingergecko
Dutch: Saiyokkromvingergekko"
Cyrtodactylus salomonensis,
Cyrtodactylus samroiyot,"Thai: Took-kai Sam Roi Yot
English: Sam Roi Yot bent-toed gecko
French: Cyrtodactyle de Sam Roï Yot
German: Samroiyot Bogenfingergecko
Dutch: Samroiyotkromvingergekko"
Cyrtodactylus sanook,"Thai: Tuk kai sanook
English: Sanook Bent-toed Gecko 
French: Cyrtodactyle sanouk
German: Sanook-Bogenfingergecko"
Cyrtodactylus sanpelensis,Sanpel cave bent-toed gecko
Cyrtodactylus semenanjungensis,Peninsular Bent-toed Gecko
Cyrtodactylus semiadii,
Cyrtodactylus semicinctus,"E: Kerinci Bent-toed Geckos
Indonesian: Cicak Jari Lengkung Kerinci"
Cyrtodactylus seribuatensis,Seribuat Bent-toed Gecko
Cyrtodactylus sermowaiensis,DeRooij's Bow-fingered Gecko
Cyrtodactylus serratus,
Cyrtodactylus sharkari,E: Sharkari’s Bent-toed Gecko
Cyrtodactylus shwetaungorum,Shwetaung bent-toed gecko
Cyrtodactylus sinyineensis,Sin yine cave bent-toed gecko
Cyrtodactylus slowinskii,
Cyrtodactylus soba,Dumbara bent toed gecko
Cyrtodactylus sommerladi,"E: Sommerlad’s Bent-toed Gecko
Laotian: Ki Chiem Sommerlad"
Cyrtodactylus soni,"E: Son’s Bent-toed Gecko (English)
Vietnamese: Thạch sùng ngón sơn"
Cyrtodactylus sonlaensis,
Cyrtodactylus soudthichaki,"E: Soudthichak’s Bent-toed Gecko
Laotian: Soudthichak’s Ki Chiem"
Cyrtodactylus speciosus,Forest Spotted gecko
Cyrtodactylus spelaeus,
Cyrtodactylus spinosus,
Cyrtodactylus srilekhae,E: Bangalore Geckoella
Cyrtodactylus stresemanni,Stresemann’s Bent-toed Gecko
Cyrtodactylus subsolanus,
Cyrtodactylus sumonthai,
Cyrtodactylus sumuroi,
Cyrtodactylus surin,
Cyrtodactylus sworderi,"E: Johore Bow-fingered Gecko, Kota-Tinggi Forest Gecko, Sworder’s Bent-toed Gecko
G: Kota-Tinggi-Bogenfingergecko"
Cyrtodactylus takouensis,Takou bent-toed gecko
Cyrtodactylus tamaiensis,Tamai bent-toed Gecko
Cyrtodactylus tambora,"E: Tambora Bent-toed Gecko
Indonesian: Cicak Jari-Lengkung Tambora"
Cyrtodactylus tanim,
Cyrtodactylus tautbatorum,
Cyrtodactylus taynguyenensis,
Cyrtodactylus tebuensis,Tebu Mountain Bent-toed Gecko
Cyrtodactylus teyniei,
Cyrtodactylus thirakhupti,"E: Thirakhupt’s bent toed gecko
F: Cyrtodactyle de Thirakhupt
G: Thirakhupts Bogenfingergecko
Dutch: Kromvingergekko van Thirakhupt
Thai: Tuk kai Thirakhupt"
Cyrtodactylus thochuensis,"E: Thochu Bent–toed Gecko
Vietnamese: Thằn lằn chân ngón Thổ Chu"
Cyrtodactylus thuongae,
Cyrtodactylus tibetanus,
Cyrtodactylus tigroides,Tiger Bent-toed Gecko
Cyrtodactylus timur,E: Banjaran Timur Bent-toed Gecko
Cyrtodactylus tiomanensis,"E: Tioman Island Bent-toed Gecko
G: Tioman-Bogenfingergecko"
Cyrtodactylus triedrus,"Spotted Bow-finger Gecko, Spotted Ground Gecko, Spotted Bent-toed Gecko, Sri Lanka Gecko"
Cyrtodactylus trilatofasciatus,Cameron Highlands Bent-toed Gecko
Cyrtodactylus tripartitus,
Cyrtodactylus tuberculatus,
Cyrtodactylus varadgirii,E: Giri’s Geckoella
Cyrtodactylus variegatus,"E: Variegated Bow-fingered Gecko, Moulmein Forest Gecko
G: Moulmein Bogenfingergecko"
Cyrtodactylus vilaphongi,
